Participant_ID,indi_beta0_mean,indi_beta0_sd,indi_beta0_hdi_3%,indi_beta0_hdi_97%,indi_beta0_r_hat,indi_beta1_mean,indi_beta1_sd,indi_beta1_hdi_3%,indi_beta1_hdi_97%,indi_beta1_r_hat,indi_beta2_mean,indi_beta2_sd,indi_beta2_hdi_3%,indi_beta2_hdi_97%,indi_beta2_r_hat,indi_drift_mean,indi_drift_sd,indi_drift_hdi_3%,indi_drift_hdi_97%,indi_drift_r_hat
1,5.443,0.985,3.619,7.278,1.0,0.427,0.147,0.166,0.707,1.0,0.881,0.135,0.625,1.136,1.0,1.286,0.077,1.141,1.43,1.0
2,5.275,0.648,4.038,6.45,1.0,0.292,0.094,0.115,0.463,1.0,0.166,0.067,0.048,0.291,1.0,1.138,0.07,1.008,1.27,1.0
3,2.71,0.592,1.556,3.769,1.0,0.239,0.09,0.075,0.405,1.0,0.347,0.086,0.187,0.508,1.0,0.874,0.057,0.766,0.98,1.0
4,0.906,0.371,0.271,1.608,1.0,0.204,0.084,0.054,0.357,1.0,1.355,0.107,1.161,1.56,1.0,1.741,0.105,1.544,1.94,1.0
5,10.244,1.167,8.076,12.405,1.0,0.58,0.238,0.182,1.031,1.0,0.364,0.107,0.166,0.568,1.0,2.231,0.13,1.987,2.476,1.0
6,4.004,0.714,2.631,5.318,1.0,0.32,0.138,0.078,0.571,1.0,1.077,0.115,0.854,1.287,1.0,2.194,0.127,1.963,2.443,1.0
7,0.944,0.334,0.331,1.578,1.0,0.198,0.04,0.123,0.274,1.0,0.979,0.1,0.794,1.169,1.0,1.361,0.087,1.199,1.527,1.0
8,7.091,0.74,5.704,8.484,1.0,0.266,0.086,0.106,0.428,1.0,0.486,0.085,0.327,0.651,1.0,3.013,0.181,2.668,3.352,1.0
9,7.411,0.918,5.66,9.087,1.0,0.385,0.155,0.122,0.682,1.0,0.519,0.112,0.308,0.729,1.0,1.732,0.102,1.536,1.921,1.0
10,10.455,1.094,8.414,12.519,1.0,0.434,0.103,0.246,0.626,1.0,0.803,0.181,0.455,1.132,1.0,1.499,0.087,1.332,1.658,1.0
11,6.68,0.815,5.174,8.195,1.0,0.328,0.142,0.093,0.599,1.0,0.29,0.096,0.111,0.467,1.0,1.335,0.08,1.186,1.486,1.0
12,2.435,0.89,0.793,4.052,1.0,0.766,0.311,0.238,1.338,1.0,1.722,0.155,1.429,2.006,1.0,1.921,0.113,1.715,2.133,1.0
13,3.121,0.613,1.962,4.234,1.0,0.346,0.123,0.125,0.573,1.0,0.22,0.073,0.089,0.357,1.0,1.042,0.069,0.916,1.171,1.0
15,4.778,0.576,3.714,5.871,1.0,0.613,0.26,0.165,1.084,1.0,0.121,0.047,0.037,0.208,1.0,2.709,0.162,2.406,3.015,1.0
16,6.02,0.784,4.556,7.517,1.0,0.271,0.109,0.071,0.466,1.0,0.444,0.105,0.248,0.646,1.0,1.276,0.077,1.13,1.416,1.0
17,8.065,0.908,6.294,9.718,1.0,0.448,0.194,0.118,0.814,1.0,0.388,0.101,0.19,0.57,1.0,2.08,0.123,1.855,2.314,1.0
18,6.222,1.243,3.84,8.489,1.0,0.706,0.174,0.38,1.033,1.0,1.247,0.179,0.9,1.57,1.0,1.357,0.081,1.204,1.508,1.0
20,4.222,0.69,2.936,5.523,1.0,0.33,0.101,0.147,0.52,1.0,0.417,0.086,0.253,0.576,1.0,1.775,0.107,1.576,1.976,1.0
21,3.078,0.693,1.746,4.355,1.0,0.283,0.11,0.088,0.492,1.0,0.661,0.112,0.442,0.862,1.0,1.052,0.065,0.927,1.172,1.0
22,3.444,0.512,2.484,4.39,1.0,0.301,0.098,0.12,0.486,1.0,0.157,0.059,0.051,0.268,1.0,1.11,0.07,0.981,1.246,1.0
23,5.686,0.926,3.897,7.381,1.0,0.368,0.171,0.085,0.685,1.0,0.337,0.116,0.129,0.559,1.0,0.751,0.05,0.659,0.846,1.0
