group_parameter_set_ID,recovered_group_log_beta0_mu_mean,recovered_group_log_beta0_mu_sd,recovered_group_log_beta0_sigma_mean,recovered_group_log_beta0_sigma_sd,recovered_group_log_beta1_mu_mean,recovered_group_log_beta1_mu_sd,recovered_group_log_beta1_sigma_mean,recovered_group_log_beta1_sigma_sd,recovered_group_log_beta2_mu_mean,recovered_group_log_beta2_mu_sd,recovered_group_log_beta2_sigma_mean,recovered_group_log_beta2_sigma_sd,recovered_group_log_drift_mu_mean,recovered_group_log_drift_mu_sd,recovered_group_log_drift_sigma_mean,recovered_group_log_drift_sigma_sd
0,0.894,0.217,0.762,0.17,1.343,0.137,0.612,0.105,-0.327,0.168,0.752,0.138,0.421,0.082,0.371,0.063
1,1.123,0.177,0.63,0.141,1.36,0.105,0.47,0.079,-0.697,0.187,0.786,0.151,0.308,0.066,0.293,0.052
2,1.071,0.228,0.858,0.176,1.577,0.072,0.31,0.056,-0.375,0.227,1.074,0.174,0.35,0.077,0.352,0.061
3,0.884,0.271,1.141,0.194,1.35,0.159,0.709,0.112,-0.452,0.138,0.569,0.122,0.374,0.075,0.337,0.058
4,1.259,0.122,0.372,0.111,1.396,0.132,0.588,0.097,-0.744,0.169,0.705,0.151,0.498,0.084,0.386,0.065
5,0.908,0.191,0.632,0.149,1.453,0.106,0.472,0.08,-0.825,0.191,0.815,0.16,0.415,0.057,0.252,0.045
6,1.199,0.202,0.761,0.151,1.278,0.151,0.693,0.112,-0.562,0.202,0.905,0.157,0.272,0.082,0.37,0.063
7,1.179,0.205,0.806,0.159,1.541,0.087,0.384,0.067,-0.873,0.191,0.836,0.164,0.535,0.091,0.413,0.07
8,1.125,0.148,0.478,0.125,1.068,0.155,0.696,0.114,-0.842,0.191,0.854,0.155,0.481,0.072,0.319,0.054
9,1.082,0.199,0.673,0.154,1.043,0.149,0.676,0.11,-0.213,0.19,0.884,0.149,0.249,0.083,0.382,0.064
