lot_0_prob,lot_0_val,lot_1_prob,lot_1_val,lot_0_ev,lot_1_ev,Deadline
90,20,30,60,18.0,18.0,10
85,20,31,55,17.0,17.05,10
80,20,29,55,16.0,15.95,8
90,25,35,65,22.5,22.75,12
85,25,35,60,21.25,21.0,10
80,25,36,55,20.0,19.8,12
60,30,20,90,18.0,18.0,8
55,31,20,85,17.05,17.0,12
55,29,20,80,15.95,16.0,8
65,35,25,90,22.75,22.5,10
60,35,25,85,21.0,21.25,10
55,36,25,80,19.8,20.0,10
90,20,30,45,18.0,13.5,8
80,25,30,50,20.0,15.0,8
80,20,30,40,16.0,12.0,10
90,25,34,50,22.5,17.0,12
85,25,35,45,21.25,15.749999999999998,10
80,25,33,45,20.0,14.85,10
40,30,10,90,12.0,9.0,12
50,32,15,80,16.0,12.0,8
45,38,15,85,17.1,12.75,12
50,36,15,90,18.0,13.5,12
45,50,20,85,22.5,17.0,10
40,53,20,80,21.200000000000003,16.0,8
90,30,30,45,27.0,13.5,12
85,35,30,50,29.75,15.0,10
80,35,31,45,28.0,13.95,12
90,31,35,40,27.9,14.0,8
85,37,35,45,31.45,15.749999999999998,12
80,34,30,45,27.200000000000003,13.5,10
45,40,10,90,18.0,9.0,12
60,43,15,85,25.8,12.75,10
55,44,15,80,24.200000000000003,12.0,8
55,49,15,90,26.950000000000003,13.5,10
50,51,15,85,25.5,12.75,10
58,55,20,80,31.9,16.0,10
90,20,50,45,18.0,22.5,8
85,20,42,50,17.0,21.0,12
80,20,50,40,16.0,20.0,12
90,15,34,50,13.5,17.0,10
86,15,35,46,12.9,16.099999999999998,8
80,16,35,46,12.8,16.099999999999998,12
45,32,20,90,14.4,18.0,10
50,32,25,80,16.0,20.0,10
40,34,20,85,13.6,17.0,8
50,36,25,90,18.0,22.5,12
46,37,25,85,17.02,21.25,12
45,34,24,80,15.3,19.2,12
90,15,45,45,13.5,20.25,12
85,15,38,50,12.75,19.0,10
80,15,40,45,12.0,18.0,12
90,20,54,50,18.0,27.0,8
85,20,57,45,17.0,25.65,8
80,20,53,45,16.0,23.85,12
45,28,21,90,12.6,18.9,10
50,25,22,85,12.5,18.7,10
45,25,21,80,11.25,16.8,8
50,30,25,90,15.0,22.5,12
45,34,27,85,15.3,22.950000000000003,10
45,32,27,80,14.4,21.6,12
