ParticipantID,ExperimentRoundNumber,TimeFullScreenMessageAppeared,WhileInRound
1,162,6569.7695,0
2,2,90.49339999997616,0
3,2,27.68279999995232,0
3,2,39.82970000004769,0
3,2,63.15929999995232,0
3,34,1234.28,0
3,162,5379.970900000096,0
5,2,29.74560000002384,0
6,2,20.48769999999925,0
7,2,261.61789999997615,0
7,162,5671.037899999976,0
8,2,170.35280000007154,0
8,130,4160.161300000072,0
8,162,4810.189600000024,0
9,2,35.95079999995232,0
9,162,5029.501200000048,0
10,2,357.6195,0
13,2,32.74170000076294,0
13,2,361.6553000011444,0
13,12,760.9538999996186,1
14,2,12.213799999952316,0
15,2,425.593599999994,0
17,2,24.61380000114441,0
17,2,177.8283000011444,0
18,2,452.76519999998806,0
18,34,2214.385599999994,0
19,2,164.98570000004767,0
20,2,78.59930000019074,0
20,22,853.3489000000953,0
20,24,899.7088000001908,0
20,130,3507.508300000191,0
20,130,3692.879300000191,1
21,2,80.13440000000014,0
21,162,4989.4636,0
22,2,4.28089999999851,0
22,2,128.27319999999554,0
22,2,304.021200000003,0
22,2,385.431,0
22,2,879.4408999999985,0
22,98,4257.019399999998,0
22,162,6174.9796000000015,0
